10
0 53 10.95
2112 0.0391277 -0.0913014 -0.00634988
2112 -0.113056 -0.0201377 0.0997896
2112 0.00951811 -0.0569503 0.750047
2112 -0.157678 0.211635 0.719311
2112 0.0679744 -0.112205 0.244579
2112 -0.0675236 0.100012 0.207975
2112 -0.0654287 -0.147299 -0.0804142
2112 -0.0229614 -0.0556698 -0.0166608
2112 -0.0684894 -0.0427918 0.0303479
2112 -0.0541493 -0.0521615 0.0414409
2112 -0.0504574 -0.0376908 0.0953005
2112 0.0199392 -0.229586 1.27188
2112 -0.0722645 -0.0729556 0.537638
2 117 7.96
1000220500 -2.08543 0.950093 -0.804238
1000130320 1.05776 0.298712 23.4411
1000090210 0.477543 -0.246148 16.62
1000040090 0.45876 -0.571377 6.75016
1000030060 0.63205 0.562852 3.99441
1000020060 -0.331718 -0.31601 -0.139658
1000020040 0.273462 -0.270712 2.02385
1000020040 0.37394 0.0398435 0.348175
1000020040 0.0234345 -0.282007 1.368
1000020030 -0.172398 0.274492 2.31242
1000020030 -0.101633 -0.789055 0.475462
1000020030 0.0504012 -0.250352 0.1515
1000010030 -0.154924 0.264854 0.184864
1000010030 0.425405 0.503341 1.68447
1000010020 -0.0392975 0.0917833 1.63484
1000010020 0.101222 0.0344914 1.19281
2212 0.240129 0.116111 0.743802
2212 -0.0109464 0.0283838 0.355906
2212 -0.213446 0.172702 -0.0104512
2212 -0.0326814 -0.00294224 -0.11652
2212 -0.263098 -0.220407 0.482629
2212 0.137142 -0.123184 0.268489
2212 -0.207205 -0.200163 0.0886117
2212 -0.0419362 0.064264 -0.180971
2212 0.168413 0.124939 0.707346
2212 0.0684961 0.372238 0.562109
2212 -0.0852996 -0.316773 0.697708
2212 0.0197476 -0.266319 0.115686
2212 -0.0146218 0.127598 0.126501
2212 0.0904948 0.00373941 0.142867
2212 0.0412719 0.0464292 0.805976
2212 -0.130136 -0.373749 0.167066
2212 0.0584983 -0.0333832 0.469013
2212 0.0916409 -0.0705726 0.515875
2212 -0.131416 -0.0411652 0.25649
2212 0.030684 0.277987 0.274673
2212 0.240789 -0.0990956 0.392456
2212 0.101057 0.226626 0.819949
2212 -0.286572 0.443728 0.000900757
2212 0.060148 0.138658 0.778699
2212 0.122036 -0.0643462 -0.00268213
2212 -0.00918335 -0.0658126 0.773148
2212 -0.0231299 0.0312045 0.514807
2212 -0.198251 -0.387166 0.674812
2212 0.181198 0.0221932 0.349488
2212 0.128948 -0.13122 0.709891
2212 -0.14171 -0.180523 -0.0592324
2112 0.031016 -0.0676206 0.816027
2112 0.0366196 -0.166665 0.838679
2112 -0.128793 -0.143008 1.14058
2112 -0.228858 -0.204039 0.427625
2112 -0.11007 0.204614 0.360624
2112 0.138005 -0.00490739 0.831466
2112 -0.0497976 -0.025383 -0.0886413
2112 0.00731916 -0.027574 0.366078
2112 0.311035 0.245231 0.879438
2112 0.0396161 0.228544 0.560313
2112 0.123781 -0.0217293 0.8351
2112 -0.076151 -0.0288865 0.0508112
2112 -0.0644151 0.053725 0.807776
2112 -0.0711918 -0.0485995 0.0196576
2112 -0.0806637 -0.0247616 0.552896
2112 0.0626271 0.0289143 0.402783
2112 -0.286995 -0.0465295 -0.121885
2112 -0.0890822 -0.0474777 -0.0588609
2112 0.0554272 0.202798 0.940931
2112 0.0873624 0.0332595 -0.0293481
2112 -0.00609287 -0.032947 -0.0600287
2112 -0.213522 -0.0609391 0.114131
2112 -0.105415 -0.177478 0.0110135
2112 -0.0642406 0.0303558 -0.0424406
2112 0.0634143 -0.0482707 0.877455
2112 0.0401225 0.0333724 -0.0839913
2112 -0.0455065 0.143707 0.493889
2112 0.25473 0.00317272 0.779928
2112 -0.0461441 -0.0121632 0.606464
2112 -0.365948 -0.155791 0.491848
2112 0.189462 0.16523 0.961941
2112 -0.107013 0.100207 0.172872
2112 -0.0284402 0.257831 0.260404
2112 -0.0220349 -0.162491 0.981095
2112 -0.0334431 0.195304 0.324748
2112 -0.0369203 -0.103432 0.739438
2112 0.0409792 0.0229713 0.847923
2112 0.0549968 -0.0731328 0.115875
2112 -0.180229 0.0907499 -0.0482698
2112 0.199491 -0.2627 0.30474
2112 0.0738679 0.0929031 0.273002
2112 -0.416272 -0.293832 -0.0515477
2112 0.126343 0.131003 0.795116
2112 -0.0447612 0.109324 0.558138
2112 -0.0773039 0.198987 0.388929
2112 0.239821 -0.0222632 0.681304
2112 0.0851615 0.0349927 0.517598
2112 0.102224 0.0590203 0.00216599
2112 -0.0734582 0.0858658 0.480335
2112 0.195749 0.169352 0.741319
2112 -0.294091 -0.208672 0.691607
2112 -0.176384 -0.191131 0.0338045
2112 -0.0341078 0.285468 0.603812
2112 -0.0968256 0.0320431 0.803856
2112 0.043295 0.052991 0.407718
2112 0.278749 -0.115407 0.509189
2112 -0.269139 -0.101222 -0.0906512
2112 0.0385752 -0.0117981 0.178088
2112 0.130175 0.00833677 0.0644361
2112 0.228597 -0.257766 0.880936
2112 0.0835408 -0.041317 0.137624
2112 -0.00601354 -0.127798 0.0473221
2112 -0.283899 -0.054513 0.218318
2112 0.0567519 0.0590215 0.17142
2112 -0.0350683 -0.0775851 0.316392
2112 0.0765512 0.142791 0.687324
2112 -0.0604528 -0.0392263 0.0899962
2112 -0.164955 0.0730645 -0.104187
2112 -0.0171553 -0.0658688 0.17524
2112 0.015807 0.0649928 -0.187597
3 48 10.54
1000350990 0.981864 0.838576 76.4138
1000300690 1.72022 0.209051 -1.71582
1000060160 -0.0236455 -0.0217714 -0.346316
1000050120 -0.433105 -0.453184 0.585495
1000020040 -0.0154299 0.00606882 0.0494072
1000020040 -0.186144 0.462714 0.430489
1000020030 -0.338328 0.0699569 2.25979
1000010030 0.141137 -0.152294 2.15512
1000010020 0.0449938 0.134378 1.71687
1000010020 -0.0078597 -0.0463713 -0.211997
1000010020 -0.0920781 -0.238243 1.33763
1000010020 -0.311482 -0.12962 0.114483
1000010020 -0.220582 -0.113252 1.407
1000010020 0.322149 0.267812 1.44955
2212 0.0738512 0.00173309 0.769727
2212 -0.0793171 0.0342622 0.63328
2212 -0.0335402 -0.123237 0.00776892
2212 -0.126707 -0.150982 1.06414
2212 0.0123778 -0.0419492 0.675977
2212 0.0331534 -0.22148 0.874877
2212 0.0432319 -0.033102 0.184309
2212 -0.0188995 -0.508603 0.449303
2212 0.101938 -0.00450066 0.75764
2212 -0.195221 -0.0662208 0.618213
2212 -0.164292 0.197866 0.651577
2112 -0.00577268 0.132104 0.635185
2112 -0.0845198 -0.0957245 0.551629
2112 -0.0622914 -0.0334218 0.723048
2112 -0.353791 0.0522885 0.330119
2112 -0.0981906 0.00320558 0.644124
2112 -0.0975284 -0.0211421 0.581705
2112 -0.16362 -0.00562209 0.00725067
2112 0.0473073 0.0265844 0.760742
2112 -0.00815589 0.173908 0.0843145
2112 -0.014391 0.162685 0.0676605
2112 -0.0298735 0.154321 -0.0328554
2112 -0.0589859 0.120794 -0.0286535
2112 0.0168434 -0.0213492 0.747129
2112 0.163727 -0.0593032 -0.0639676
2112 -0.105412 -0.0115157 -0.0522285
2112 -0.112195 0.0742232 0.136252
2112 -0.0985398 -0.0127905 -0.0659243
2112 -0.0375377 -0.125279 0.770063
2112 0.0388916 -0.0690151 0.768986
2112 -0.0821731 -0.0705014 -0.00460394
2112 -0.0229628 -0.119111 0.694868
2112 -0.159398 -0.0966289 -0.0361736
2112 0.100285 -0.0763158 0.798096
4 52 10.72
1000361020 -0.25914 0.208684 77.925
1000310730 0.83365 -0.0476099 -1.59337
1000110250 -0.698743 -0.404262 0.0924199
1000020030 -0.0541279 -0.0758738 1.97184
1000020030 0.192774 -0.103655 2.44996
1000010030 0.18763 0.176286 2.22281
1000010020 0.198228 0.162053 1.75543
2212 -0.0128561 -0.0395982 0.85984
2212 0.039974 -0.043024 0.869618
2212 -0.177075 -0.29288 -0.163018
2212 0.0751833 0.0134248 0.765019
2212 0.0940545 0.0228366 -0.159052
2212 -0.100176 0.114858 0.590434
2212 -0.0208326 0.169185 0.135446
2212 0.0815769 0.0750176 -0.109125
2212 0.195942 -0.13074 0.0259394
2212 -0.0896102 -0.149235 0.136267
2212 -0.269685 0.0727407 0.325048
2212 0.0318046 0.0225937 -0.0351673
2212 -0.208126 -0.0848334 0.540781
2212 0.130457 0.0518118 0.945797
2212 0.0346062 -0.0375121 0.53482
2212 0.0879492 0.322182 0.185367
2112 -0.119497 -0.0623334 0.291415
2112 0.134005 -0.0400386 0.861229
2112 -0.0651811 -0.108673 0.872363
2112 -0.0382742 -0.135526 0.202377
2112 0.0806047 -0.0866613 0.632384
2112 0.109161 0.165899 0.143847
2112 -0.0101112 0.0558063 -0.049633
2112 0.07336 -0.0439363 0.641613
2112 0.04306 0.00742944 0.172042
2112 0.0908337 0.1382 0.0861827
2112 -0.130811 0.0602773 0.736043
2112 0.0703826 -0.00665135 -0.110452
2112 0.0797304 -0.0195319 -0.0998144
2112 -0.176636 0.0650878 0.545548
2112 0.00729848 0.0444366 0.115194
2112 -0.00614834 -0.0871496 -0.0672761
2112 -0.117678 -0.0429994 0.586055
2112 -0.173801 0.2121 0.235081
2112 -0.0314097 -0.108039 0.116684
2112 0.0898551 -0.0898288 1.07911
2112 0.0193392 0.00664851 0.108458
2112 0.0290113 -0.0738948 0.036143
2112 0.0174893 -0.215285 0.893705
2112 -0.0329596 0.102001 0.0289646
2112 -0.135102 0.0179609 0.133881
2112 -0.0749362 0.302847 0.132956
2112 -0.0703315 0.0108064 0.746954
2112 0.159666 -0.0259534 0.989148
2112 -0.114376 -0.0454501 0.00663004
5 57 10.5
1000371040 1.86964 -0.441756 79.3246
1000350830 -0.685802 0.220269 0.198822
1000020060 -0.31097 -0.492489 -0.286466
1000020060 0.0909171 -0.252693 -0.635156
1000020030 -0.29377 -0.0245681 2.21931
1000010030 0.3204 0.0910994 2.16137
2212 -0.0546965 0.0804834 0.80485
2212 0.0565269 -0.100754 0.887668
2212 -0.175378 0.0728319 0.313076
2212 -0.243661 0.183856 0.512859
2212 -0.0345282 0.111402 0.744893
2212 0.337173 -0.038999 0.740922
2212 0.00703569 0.0601766 0.0404457
2212 0.112249 -0.105027 -0.0906169
2212 -0.0952245 0.0623817 0.802806
2212 0.138652 -0.0527059 -0.00833417
2212 0.132806 0.00878095 0.0364826
2212 0.0553638 0.238537 0.0762025
2212 -0.0352523 0.175027 0.098096
2212 -0.170994 0.243207 0.33631
2212 -0.179988 -0.165811 0.377374
2212 0.0467671 -0.240091 0.0295371
2212 -0.0894018 -0.139152 0.00881519
2212 0.0691933 -0.00160032 0.0576544
2212 -0.13507 -0.0633618 0.255998
2212 -0.172326 -0.301494 0.972635
2212 0.00180909 0.0481243 0.86449
2112 -0.0873589 -0.142588 0.00848392
2112 0.139761 0.0283297 -0.101749
2112 0.100342 0.0260426 0.0563569
2112 0.0718433 0.0447573 0.00680264
2112 0.0833465 0.0592096 0.709908
2112 -0.0145965 -0.0827138 1.10321
2112 0.0908137 -0.043234 0.756718
2112 0.180012 -0.263964 0.629242
2112 -0.322961 0.475577 0.280712
2112 0.189888 -0.0954328 0.0679381
2112 0.0175517 0.0201935 0.557528
2112 -0.0791713 -0.0267301 0.23645
2112 0.00397687 0.0323419 -0.100465
2112 0.0973284 0.288517 0.168345
2112 -0.0861669 0.0931946 -0.0577746
2112 -0.0596005 -0.0669413 -0.0658519
2112 -0.120951 -0.0823841 0.68009
2112 -0.0361367 0.150954 0.118996
2112 0.0939349 -0.0124002 0.0979064
2112 -0.159734 0.0202073 0.904354
2112 -0.217935 -0.168748 0.701496
2112 0.032367 -0.0770568 0.0735406
2112 -0.103574 0.0495775 0.531052
2112 -0.0115498 0.046344 -0.114874
2112 -0.0908044 0.144657 0.0108306
2112 -0.15637 0.0684935 0.685826
2112 -0.110898 0.203266 0.200754
2112 -0.123571 0.0885142 -0.0978984
2112 0.0644723 0.06866 0.596842
2112 0.0542704 -0.0223178 0.773759
6 78 9.35
1000320830 2.30571 -0.806733 64.756
1000150440 -1.12664 0.542247 0.15991
1000070140 -0.697407 -0.642398 -0.461423
1000050130 0.0320624 0.0276712 -0.0593447
1000030110 -0.159781 0.325015 -0.231166
1000040090 0.692351 0.0546719 6.21531
1000050060 0.207438 0.398695 0.461923
1000010030 -0.499217 0.257334 1.89885
1000010030 -0.381837 -0.10124 1.78932
1000010020 -0.0511582 -0.0588868 1.30116
2212 0.100032 0.284023 0.60379
2212 0.136652 0.0442745 0.938775
2212 -0.0234309 -0.0648976 0.721182
2212 -0.30227 -0.0266353 0.282748
2212 -0.224372 0.454996 0.693727
2212 -0.236957 0.0519593 0.654375
2212 -0.0963811 -0.0270247 0.13225
2212 0.0746517 -0.115315 -0.0614586
2212 0.272832 -0.078959 0.808648
2212 -0.269235 -0.276434 0.288579
2212 -0.0168038 -0.0264905 0.711448
2212 0.179092 -0.178335 0.249119
2212 0.0864489 0.0726909 0.557346
2212 -0.143872 -0.111891 -0.106058
2212 0.0242394 0.238531 0.789067
2212 0.0977537 0.00442469 0.00045816
2212 0.0019647 0.0444206 0.164226
2212 -0.121395 0.12773 0.782832
2212 -0.0580094 0.0895843 -0.181465
2212 0.0158796 -0.220502 0.0443707
2212 -0.0646764 -0.0453329 0.0359945
2212 0.0221844 0.0651575 -0.143915
2212 -0.0546593 0.0537778 0.76292
2212 0.0729201 -0.00535079 0.157636
2212 0.0506233 -0.0500922 0.0436982
2212 -0.501624 -0.315718 0.409133
2112 0.0121588 0.120009 0.751742
2112 0.0829707 -0.101615 0.129953
2112 0.0416378 0.161065 0.0463526
2112 -0.148246 0.025311 0.824411
2112 0.18075 -0.320067 0.122005
2112 0.147009 -0.033665 0.309605
2112 0.0551053 -0.103792 0.819535
