Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - electrical component of [1] - J.F.Ziegler et al	5 - nuclear component of [1] - J.F.Ziegler et al
257.041199	5.63356   	3.92698   	4.09065   	3.96169   	3.92602   	0.000963207
257.116105	5.63264   	3.92636   	4.09004   	3.96105   	3.9254    	0.000962952
257.191011	5.63171   	3.92575   	4.08943   	3.9604    	3.92478   	0.000962698
257.265918	5.63078   	3.92513   	4.08882   	3.95975   	3.92417   	0.000962444
257.340824	5.62986   	3.92452   	4.08821   	3.95911   	3.92355   	0.00096219
257.415730	5.62893   	3.9239    	4.0876    	3.95846   	3.92294   	0.000961936
257.490637	5.62801   	3.92329   	4.08699   	3.95782   	3.92233   	0.000961683
257.565543	5.62709   	3.92267   	4.08638   	3.95717   	3.92171   	0.000961429
257.640449	5.62616   	3.92206   	4.08577   	3.95653   	3.9211    	0.000961176
257.715356	5.62524   	3.92145   	4.08517   	3.95588   	3.92048   	0.000960923
257.790262	5.62432   	3.92083   	4.08456   	3.95524   	3.91987   	0.00096067
257.865169	5.6234    	3.92022   	4.08395   	3.9546    	3.91926   	0.000960417
257.940075	5.62248   	3.91961   	4.08334   	3.95395   	3.91865   	0.000960164
258.014981	5.62156   	3.919     	4.08274   	3.95331   	3.91804   	0.000959911
258.089888	5.62064   	3.91838   	4.08213   	3.95267   	3.91742   	0.000959659
258.164794	5.61972   	3.91777   	4.08152   	3.95203   	3.91681   	0.000959406
258.239700	5.6188    	3.91716   	4.08092   	3.95139   	3.9162    	0.000959154
258.314607	5.61788   	3.91655   	4.08031   	3.95075   	3.91559   	0.000958902
258.389513	5.61696   	3.91594   	4.07971   	3.95011   	3.91498   	0.00095865
258.464419	5.61604   	3.91533   	4.0791    	3.94946   	3.91437   	0.000958398
258.539326	5.61513   	3.91472   	4.0785    	3.94882   	3.91376   	0.000958146
258.614232	5.61421   	3.91411   	4.0779    	3.94819   	3.91315   	0.000957895
258.689139	5.61329   	3.9135    	4.07729   	3.94755   	3.91254   	0.000957643
258.764045	5.61238   	3.91289   	4.07669   	3.94691   	3.91194   	0.000957392
258.838951	5.61146   	3.91228   	4.07609   	3.94627   	3.91133   	0.000957141
258.913858	5.61055   	3.91168   	4.07548   	3.94563   	3.91072   	0.00095689
258.988764	5.60963   	3.91107   	4.07488   	3.94499   	3.91011   	0.000956639
259.063670	5.60872   	3.91046   	4.07428   	3.94435   	3.90951   	0.000956388
259.138577	5.60781   	3.90985   	4.07368   	3.94372   	3.9089    	0.000956138
259.213483	5.6069    	3.90925   	4.07307   	3.94308   	3.90829   	0.000955887
259.288390	5.60598   	3.90864   	4.07247   	3.94244   	3.90769   	0.000955637
259.363296	5.60507   	3.90804   	4.07187   	3.94181   	3.90708   	0.000955387
259.438202	5.60416   	3.90743   	4.07127   	3.94117   	3.90647   	0.000955137
259.513109	5.60325   	3.90682   	4.07067   	3.94054   	3.90587   	0.000954887
259.588015	5.60234   	3.90622   	4.07007   	3.9399    	3.90526   	0.000954637
259.662921	5.60143   	3.90561   	4.06947   	3.93927   	3.90466   	0.000954388
259.737828	5.60052   	3.90501   	4.06887   	3.93863   	3.90406   	0.000954138
259.812734	5.59961   	3.90441   	4.06828   	3.938     	3.90345   	0.000953889
259.887640	5.5987    	3.9038    	4.06768   	3.93737   	3.90285   	0.000953639
259.962547	5.5978    	3.9032    	4.06708   	3.93673   	3.90225   	0.00095339
260.037453	5.59689   	3.9026    	4.06648   	3.9361    	3.90164   	0.000953141
260.112360	5.59598   	3.90199   	4.06588   	3.93547   	3.90104   	0.000952893
